City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.39,70,54,10.08,TF,1729869587
1,adamstown,-25.066,-130.1015,20.65,75,100,7.84,PN,1729869589
2,olonkinbyen,70.9221,-8.7187,-2.96,55,80,4.54,SJ,1729869590
3,west island,-12.1568,96.8225,25.99,73,40,4.63,CC,1729869591
4,balkanabat,39.5108,54.3671,15.72,63,24,3.98,TM,1729869593
5,zhangye,38.9342,100.4517,8.41,45,37,1.48,CN,1729869594
6,puerto natales,-51.7236,-72.4875,9.25,57,100,18.01,CL,1729869330
7,papatowai,-46.5619,169.4708,6.57,86,100,3.56,NZ,1729869596
8,campoverde,-8.4753,-74.8058,30.83,52,78,1.61,PE,1729869598
9,bilibino,68.0546,166.4372,-18.95,93,100,1.4,RU,1729869599
10,grytviken,-54.2811,-36.5092,1.99,99,100,5.35,GS,1729869600
11,tiksi,71.6872,128.8694,-21.42,99,68,1.76,RU,1729869602
12,narasannapeta,18.4167,84.05,25.83,83,76,2.42,IN,1729869603
13,ventspils,57.3894,21.5606,10.96,82,100,4.12,LV,1729869604
14,ushuaia,-54.8,-68.3,8.81,71,75,9.77,AR,1729869605
15,cabo san lucas,22.8909,-109.9124,30.98,37,0,1.54,MX,1729869607
16,ribeira grande,38.5167,-28.7,19.32,59,75,6.17,PT,1729869608
17,aracataca,10.5918,-74.1898,31.03,65,97,1.3,CO,1729869609
18,thunder bay,48.4001,-89.3168,7.99,76,20,3.6,CA,1729869611
19,yellowknife,62.456,-114.3525,-5.88,95,40,3.6,CA,1729869612
20,rio grande,-32.035,-52.0986,19.66,68,84,4.89,BR,1729869333
21,valparaiso,-33.0393,-71.6273,22.13,53,0,5.66,CL,1729869614
22,katsuura,35.1333,140.3,21.08,76,100,7.56,JP,1729869616
23,waitangi,-43.9535,-176.5597,12.68,98,100,5.24,NZ,1729869617
24,nicoya,10.1483,-85.452,28.16,76,69,2.55,CR,1729869618
25,nova sintra,14.8667,-24.7167,26.75,74,89,8.33,CV,1729869620
26,jayapura,-2.5333,140.7,24.66,87,95,1.53,ID,1729869621
27,iqaluit,63.7506,-68.5145,-1.15,69,100,3.6,CA,1729869622
28,fort st. john,56.2499,-120.8529,-2.06,74,20,4.12,CA,1729869481
29,port alfred,-33.5906,26.891,17.88,77,2,4.02,ZA,1729869625
30,khandyga,62.6667,135.6,-9.66,95,100,2.11,RU,1729869626
31,lihue,21.9789,-159.3672,23.77,88,100,0.0,US,1729869627
32,vila velha,-20.3297,-40.2925,32.97,64,40,7.2,BR,1729869492
33,qamdo,31.1667,97.2333,5.88,72,100,0.57,CN,1729869630
34,awjilah,29.1081,21.2869,24.8,33,0,4.07,LY,1729869631
35,aras-asan,8.8908,126.3033,24.62,92,100,1.79,PH,1729869632
36,mukalla,14.5425,49.1242,27.7,75,6,3.68,YE,1729869633
37,puerto ayora,-0.7393,-90.3518,21.42,93,96,3.58,EC,1729869635
38,hawaiian paradise park,19.5933,-154.9731,22.72,99,100,2.06,US,1729869636
39,kruisfontein,-34.0033,24.7314,16.73,59,0,7.88,ZA,1729869340
40,rivera,-30.9053,-55.5508,22.95,99,24,2.87,UY,1729869639
41,saint-apollinaire,47.3333,5.0833,21.79,64,40,2.06,FR,1729869640
42,dekina,7.6948,7.0222,27.52,75,99,1.42,NG,1729869641
43,geraldton,-28.7667,114.6,17.23,77,75,5.14,AU,1729869581
44,broken hill,-31.95,141.4333,15.4,41,66,2.94,AU,1729869556
45,tommot,58.9564,126.2925,-6.14,93,100,3.96,RU,1729869645
46,avarua,-21.2078,-159.775,22.58,76,100,10.65,CK,1729869380
47,invercargill,-46.4,168.35,7.23,89,100,0.45,NZ,1729869647
48,vilyuchinsk,52.9306,158.4028,3.15,78,100,5.46,RU,1729869649
49,bethel,41.3712,-73.414,12.99,58,0,3.09,US,1729869650
